"Date","Forecast"
2025-10-24,262.948503221411
2025-10-25,263.076999118604
2025-10-26,263.205495015797
2025-10-27,263.33399091299
2025-10-28,263.462486810182
2025-10-29,263.590982707375
2025-10-30,263.719478604568
2025-10-31,263.847974501761
2025-11-01,263.976470398953
2025-11-02,264.104966296146
2025-11-03,264.233462193339
2025-11-04,264.361958090532
2025-11-05,264.490453987724
2025-11-06,264.618949884917
2025-11-07,264.74744578211
2025-11-08,264.875941679303
2025-11-09,265.004437576495
2025-11-10,265.132933473688
2025-11-11,265.261429370881
2025-11-12,265.389925268074
2025-11-13,265.518421165266
2025-11-14,265.646917062459
2025-11-15,265.775412959652
2025-11-16,265.903908856845
2025-11-17,266.032404754037
2025-11-18,266.16090065123
2025-11-19,266.289396548423
2025-11-20,266.417892445616
2025-11-21,266.546388342808
2025-11-22,266.674884240001
